slot,arm,luna_side,terminal_cause,luna_outcome,player_turns,requests,luna_turns,tokens,backend_seconds,core_damage,heuristic_core_damage
MATCH-001,strict,red,CORE_DESTRUCTION,loss,11,8,5,22622,18.683324000099674,0,30
MATCH-001,bounded,red,TEAM_ELIMINATION,loss,18,16,9,43667,30.392090899986215,0,15
MATCH-001,stepwise,red,REQUEST_LIMIT,limit,94,140,47,340457,222.09179239999503,0,18
MATCH-002,bounded,blue,PROVIDER_FORFEIT,loss,3,4,2,12719,7.674444300006144,0,0
MATCH-002,stepwise,blue,CORE_DESTRUCTION,loss,10,13,5,35410,24.05013989994768,0,30
MATCH-002,strict,blue,TEAM_ELIMINATION,loss,21,12,11,32642,23.41433589992812,0,0
MATCH-003,stepwise,red,CORE_DESTRUCTION,loss,11,16,5,42586,27.80704139987938,0,30
MATCH-003,strict,red,TEAM_ELIMINATION,loss,9,6,4,17680,16.093771099927835,0,0
MATCH-003,bounded,red,TEAM_ELIMINATION,loss,10,7,5,18275,13.981041999999434,0,0
MATCH-004,strict,blue,TEAM_ELIMINATION,loss,12,8,6,23101,17.15791030001128,0,15
MATCH-004,bounded,blue,TEAM_ELIMINATION,loss,8,12,4,33827,22.532271599920932,0,0
MATCH-004,stepwise,blue,CORE_DESTRUCTION,win,7,15,4,45257,25.962095299968496,30,0
MATCH-005,bounded,red,TEAM_ELIMINATION,loss,12,10,6,27611,17.775207500031684,0,15
MATCH-005,stepwise,red,CORE_DESTRUCTION,loss,11,16,5,41339,26.830182900012005,0,30
MATCH-005,strict,red,CORE_DESTRUCTION,loss,7,4,3,11756,8.150054900033865,0,30
MATCH-006,stepwise,blue,CORE_DESTRUCTION,loss,10,15,5,39424,27.998761900002137,0,30
MATCH-006,strict,blue,TEAM_ELIMINATION,loss,33,26,17,66117,43.94493019999936,0,0
MATCH-006,bounded,blue,TEAM_ELIMINATION,loss,10,13,5,38087,24.659106799925212,0,0
MATCH-007,strict,red,TEAM_ELIMINATION,loss,7,4,3,10688,7.576715100032743,0,10
MATCH-007,bounded,red,CORE_DESTRUCTION,loss,9,9,4,25560,17.47754619998159,0,30
MATCH-007,stepwise,red,TEAM_ELIMINATION,loss,8,12,4,28899,19.678792299993802,0,5
MATCH-008,bounded,blue,TEAM_ELIMINATION,loss,10,9,5,26802,16.204651100037154,0,0
MATCH-008,stepwise,blue,CORE_DESTRUCTION,loss,12,21,6,57123,35.20884180010762,0,30
MATCH-008,strict,blue,CORE_DESTRUCTION,loss,10,7,5,20314,14.718957599950954,0,30
MATCH-009,stepwise,red,REQUEST_LIMIT,limit,94,140,47,351155,226.4394503000076,0,18
MATCH-009,strict,red,CORE_DESTRUCTION,loss,9,6,4,17988,12.22403470001882,0,30
MATCH-009,bounded,red,TEAM_ELIMINATION,loss,11,7,5,18610,12.727255299978424,0,15
MATCH-010,strict,blue,PROVIDER_FORFEIT,loss,5,4,3,12256,8.862004299997352,0,0
MATCH-010,bounded,blue,TEAM_ELIMINATION,loss,10,8,5,23189,13.648766600003,0,5
MATCH-010,stepwise,blue,CORE_DESTRUCTION,loss,10,15,5,39802,24.752231499936897,0,30
MATCH-011,bounded,red,TEAM_ELIMINATION,loss,10,7,5,18545,16.604633599927183,0,5
MATCH-011,stepwise,red,TEAM_ELIMINATION,loss,15,24,7,59249,51.946647600096185,0,0
MATCH-011,strict,red,TEAM_ELIMINATION,loss,38,19,19,44795,30.951870899938513,0,20
MATCH-012,stepwise,blue,CORE_DESTRUCTION,loss,10,12,5,32096,20.483828900032677,0,30
MATCH-012,strict,blue,TEAM_ELIMINATION,loss,12,7,6,20320,13.13722079998115,0,15
MATCH-012,bounded,blue,CORE_DESTRUCTION,loss,14,15,7,42404,25.389754700125195,0,30
MATCH-013,strict,red,TEAM_ELIMINATION,loss,9,7,4,20645,14.04055930004688,0,25
MATCH-013,bounded,red,TEAM_ELIMINATION,loss,10,6,5,15125,9.908717399986926,0,0
MATCH-013,stepwise,red,TEAM_ELIMINATION,loss,15,24,7,56883,41.2123512000544,0,18
MATCH-014,bounded,blue,PROVIDER_FORFEIT,loss,5,4,3,12281,8.155534399964381,0,0
MATCH-014,stepwise,blue,CORE_DESTRUCTION,loss,10,15,5,39801,25.15677100000903,0,30
MATCH-014,strict,blue,TEAM_ELIMINATION,loss,12,8,6,23710,14.028656300099101,0,5
MATCH-015,stepwise,red,REQUEST_LIMIT,limit,92,140,46,363431,227.45449510030448,0,18
MATCH-015,strict,red,TEAM_ELIMINATION,loss,10,5,5,12432,8.459749199973885,0,5
MATCH-015,bounded,red,TEAM_ELIMINATION,loss,10,8,5,21379,13.304002599907108,0,5
MATCH-016,strict,blue,CORE_DESTRUCTION,loss,10,6,5,17240,16.573969800025225,0,30
MATCH-016,bounded,blue,TEAM_ELIMINATION,loss,10,9,5,23872,16.2487510999199,0,0
MATCH-016,stepwise,blue,PROVIDER_FORFEIT,loss,1,2,1,6409,3.6037839999771677,0,0
MATCH-017,bounded,red,CORE_DESTRUCTION,loss,11,10,5,26291,17.908653199963737,0,30
MATCH-017,stepwise,red,TEAM_ELIMINATION,win,18,36,9,81668,69.16120839997893,0,18
MATCH-017,strict,red,TEAM_ELIMINATION,loss,7,3,3,7670,6.016324300027918,0,5
MATCH-018,stepwise,blue,TEAM_ELIMINATION,loss,10,16,5,42708,30.453356500016525,0,18
MATCH-018,strict,blue,PROVIDER_FORFEIT,loss,3,4,2,13245,7.195729899976868,0,0
MATCH-018,bounded,blue,PROVIDER_FORFEIT,loss,5,6,3,18421,9.61208810005337,0,0
MATCH-019,strict,red,PROVIDER_FORFEIT,loss,2,2,1,6218,3.6795088999788277,0,0
MATCH-019,bounded,red,TEAM_ELIMINATION,loss,7,3,3,7843,7.573527300031856,0,0
MATCH-019,stepwise,red,CORE_DESTRUCTION,loss,11,18,5,47699,31.055159499985166,0,30
MATCH-020,bounded,blue,PROVIDER_FORFEIT,loss,5,6,3,18431,12.869030700065196,0,0
MATCH-020,stepwise,blue,TEAM_ELIMINATION,loss,13,22,7,59722,38.61014020012226,0,18
MATCH-020,strict,blue,PROVIDER_FORFEIT,loss,3,3,2,9696,5.161618899961468,0,0
